Complaint_Type,Count
Illegal Parking,7855
Noise - Residential,4970
Noise - Street/Sidewalk,4804
Blocked Driveway,2278
UNSANITARY CONDITION,1817
Water System,1740
Street Condition,1479
Dirty Condition,1195
Abandoned Vehicle,1104
Encampment,1009
PLUMBING,888
Noise - Vehicle,833
Noise - Commercial,802
Damaged Tree,764
PAINT/PLASTER,750
Illegal Dumping,645
DOOR/WINDOW,622
Maintenance or Facility,617
Noise,613
Illegal Fireworks,604
WATER LEAK,598
GENERAL,583
Missed Collection,549
Traffic Signal Condition,537
HEAT/HOT WATER,529
Street Light Condition,500
Overgrown Tree/Branches,471
Rodent,425
ELECTRIC,414
Derelict Vehicles,406
Obstruction,386
Building/Use,366
FLOORING/STAIRS,361
APPLIANCE,360
Graffiti,356
Sidewalk Condition,345
Non-Emergency Police Matter,341
Vendor Enforcement,339
General Construction/Plumbing,336
Sewer,336
Consumer Complaint,323
Elevator,298
Dead/Dying Tree,255
Food Establishment,229
Residential Disposal Complaint,213
Dead Animal,208
Panhandling,197
SAFETY,179
Lead,169
Violation of Park Rules,166
Noise - Park,164
Indoor Air Quality,160
Homeless Person Assistance,155
For Hire Vehicle Complaint,154
Street Sweeping Complaint,152
Air Quality,150
Animal-Abuse,133
Root/Sewer/Sidewalk Condition,132
Drug Activity,126
Illegal Tree Damage,122
Drinking,120
Taxi Complaint,110
Curb Condition,104
Water Conservation,88
Animal in a Park,83
Lost Property,81
Litter Basket Request,79
Traffic,79
Smoking or Vaping,77
Illegal Posting,73
Highway Condition,62
Real Time Enforcement,59
Unsanitary Animal Pvt Property,57
Lot Condition,55
Street Sign - Damaged,47
Outdoor Dining,47
Hazardous Materials,47
Food Poisoning,47
Standing Water,47
Mobile Food Vendor,41
Street Sign - Missing,41
Cannabis Retailer,40
Sanitation Worker or Vehicle Complaint,39
Broken Parking Meter,39
Wood Pile Remaining,36
Unleashed Dog,35
Unsanitary Pigeon Condition,34
Dumpster Complaint,34
Special Projects Inspection Team (SPIT),33
Bike/Roller/Skate,32
Urinating in Public,32
Emergency Response Team (ERT),30
Asbestos,30
ELEVATOR,29
Street Sign - Dangling,28
Plumbing,27
Day Care,27
Abandoned Bike,26
Noise - Helicopter,25
Commercial Disposal Complaint,23
For Hire Vehicle Report,21
Litter Basket Complaint,21
Noise - House of Worship,20
Industrial Waste,19
Construction Lead Dust,17
OUTSIDE BUILDING,16
Bus Stop Shelter Complaint,16
Water Quality,12
Illegal Animal Kept as Pet,12
Cooling Tower,12
Taxi Report,11
Electrical,11
Uprooted Stump,11
Boilers,10
Beach/Pool/Sauna Complaint,10
Bike Rack,8
E-Scooter,8
New Tree Request,7
Ferry Inquiry,7
Indoor Sewage,7
Disorderly Youth,6
LinkNYC,6
Building Drinking Water Tank,5
Poison Ivy,5
Mold,4
Tattooing,4
Ferry Complaint,4
Scaffold Safety,4
Green Taxi Complaint,4
BEST/Site Safety,3
AHV Inspection Unit,3
Harboring Bees/Wasps,3
Recycling Basket Complaint,3
Bridge Condition,3
Investigations and Discipline (IAD),3
Mosquitoes,2
Drinking Water,2
Public Toilet,2
Bench,2
Taxi Compliment,2
Institution Disposal Complaint,2
Bus Stop Shelter Placement,2
Posting Advertisement,2
Found Property,2
Animal Facility - No Permit,1
Unsanitary Animal Facility,1
Pet Sale,1
Illegal Animal Sold,1
Highway Sign - Missing,1
Lifeguard,1
Wayfinding,1
Highway Sign - Damaged,1
Plant,1
Taxi Licensee Complaint,1
Tobacco or Non-Tobacco Sale,1
