unique_key,created_date,complaint_type,descriptor,agency,status,city,incident_address,latitude,longitude,Complaint_Type,APCCD_Category,Department
69713633,2026-07-15T02:37:54.000,Street Condition,Pothole,DOT,Open,QUEENS,135 PLACE,,,Street Condition,Roads,Roads & Buildings
69718450,2026-07-15T02:37:04.000,Street Condition,Pothole,DOT,Open,QUEENS,157 STREET,,,Street Condition,Roads,Roads & Buildings
69718451,2026-07-15T02:35:37.000,Street Condition,Pothole,DOT,Open,QUEENS,155 STREET,,,Street Condition,Roads,Roads & Buildings
69720066,2026-07-15T02:34:44.000,Street Condition,Pothole,DOT,Open,QUEENS,156 STREET,,,Street Condition,Roads,Roads & Buildings
69713634,2026-07-15T02:33:50.000,Street Condition,Pothole,DOT,Open,QUEENS,ROCKAWAY BOULEVARD,,,Street Condition,Roads,Roads & Buildings
69713178,2026-07-15T02:32:21.000,Street Condition,Pothole,DOT,Closed,QUEENS,,40.66645245,-73.75763103,Street Condition,Roads,Roads & Buildings
69718452,2026-07-15T02:29:08.000,Street Condition,Pothole,DOT,Open,QUEENS,145 AVENUE,,,Street Condition,Roads,Roads & Buildings
69712033,2026-07-15T02:27:59.000,Street Condition,Pothole,DOT,Open,QUEENS,SOUTH CONDUIT AVENUE,,,Street Condition,Roads,Roads & Buildings
69713635,2026-07-15T02:26:36.000,Street Condition,Pothole,DOT,Open,QUEENS,ROCKAWAY BOULEVARD,,,Street Condition,Roads,Roads & Buildings
69723306,2026-07-15T02:25:22.000,Street Condition,Pothole,DOT,Open,QUEENS,,40.66722878,-73.78502387,Street Condition,Roads,Roads & Buildings
69712034,2026-07-15T02:24:11.000,Street Condition,Pothole,DOT,Open,QUEENS,ROCKAWAY BOULEVARD,,,Street Condition,Roads,Roads & Buildings
69721660,2026-07-15T02:22:28.000,Street Condition,Pothole,DOT,Open,QUEENS,,40.67156759,-73.784653,Street Condition,Roads,Roads & Buildings
69717117,2026-07-15T01:51:21.000,Noise - Commercial,Loud Music/Party,NYPD,In Progress,,,40.68093429,-73.90307905,Noise - Commercial,Noise Pollution,Pollution Control Board
69720188,2026-07-15T01:50:01.000,Abandoned Vehicle,With License Plate,NYPD,In Progress,BROOKLYN,961 EAST 5 STREET,40.62808265,-73.97260249,Abandoned Vehicle,Traffic & Parking,Traffic Police
